Country or Area,M49 code,ISO-alpha3 code
Aruba,533,ABW
Afghanistan,4,AFG
Angola,24,AGO
Anguilla,660,AIA
Åland Islands,248,ALA
Albania,8,ALB
Andorra,20,AND
United Arab Emirates,784,ARE
Argentina,32,ARG
Armenia,51,ARM
American Samoa,16,ASM
Antarctica,10,ATA
French Southern Territories,260,ATF
Antigua and Barbuda,28,ATG
Australia,36,AUS
Austria,40,AUT
Azerbaijan,31,AZE
Burundi,108,BDI
Belgium,56,BEL
Benin,204,BEN
"Bonaire, Sint Eustatius and Saba",535,BES
Burkina Faso,854,BFA
Bangladesh,50,BGD
Bulgaria,100,BGR
Bahrain,48,BHR
Bahamas,44,BHS
Bosnia and Herzegovina,70,BIH
Saint Barthélemy,652,BLM
Belarus,112,BLR
Belize,84,BLZ
Bermuda,60,BMU
Bolivia (Plurinational State of),68,BOL
Brazil,76,BRA
Barbados,52,BRB
Brunei Darussalam,96,BRN
Bhutan,64,BTN
Bouvet Island,74,BVT
Botswana,72,BWA
Central African Republic,140,CAF
Canada,124,CAN
Cocos (Keeling) Islands,166,CCK
Switzerland,756,CHE
Chile,152,CHL
China,156,CHN
Côte d’Ivoire,384,CIV
Cameroon,120,CMR
Democratic Republic of the Congo,180,COD
Congo,178,COG
Cook Islands,184,COK
Colombia,170,COL
Comoros,174,COM
Cabo Verde,132,CPV
Costa Rica,188,CRI
Cuba,192,CUB
Curaçao,531,CUW
Christmas Island,162,CXR
Cayman Islands,136,CYM
Cyprus,196,CYP
Czechia,203,CZE
Germany,276,DEU
Djibouti,262,DJI
Dominica,212,DMA
Denmark,208,DNK
Dominican Republic,214,DOM
Algeria,12,DZA
Ecuador,218,ECU
Egypt,818,EGY
Eritrea,232,ERI
Western Sahara,732,ESH
Spain,724,ESP
Estonia,233,EST
Ethiopia,231,ETH
Finland,246,FIN
Fiji,242,FJI
Falkland Islands (Malvinas),238,FLK
France,250,FRA
Faroe Islands,234,FRO
Micronesia (Federated States of),583,FSM
Gabon,266,GAB
United Kingdom of Great Britain and Northern Ireland,826,GBR
Georgia,268,GEO
Guernsey,831,GGY
Ghana,288,GHA
Gibraltar,292,GIB
Guinea,324,GIN
Guadeloupe,312,GLP
Gambia,270,GMB
Guinea-Bissau,624,GNB
Equatorial Guinea,226,GNQ
Greece,300,GRC
Grenada,308,GRD
Greenland,304,GRL
Guatemala,320,GTM
French Guiana,254,GUF
Guam,316,GUM
Guyana,328,GUY
"China, Hong Kong Special Administrative Region",344,HKG
Heard Island and McDonald Islands,334,HMD
Honduras,340,HND
Croatia,191,HRV
